id,city_name,content,nick_name,score
219,北京,不舍不舍，万分不舍！,nOu522978723,5.0
220,汕头,非常好看就是钢铁侠死不好,stu385883911,5.0
221,佛山,还不错的，就是打架的时候刺激。,曹传俊🍀,4.0
222,上海,钢铁侠的落幕  一个时代的终结,Allen  Zhang🍃,5.0
223,郑州,可能到最后我最后悔的事就是没看首映,LLLMR_,5.0
224,恩施,差评，不好看,空心,1.0
225,梅河口,怎么说呢  2点40就结束了基本上  哎不剧透了  我的漫威迷挺好的值得看一看  就这样,COAN248,5.0
226,宜宾,终节以后就是平静，,taj956557257,5.0
227,天津,非常不错我很喜欢,A 时光少年依旧蓝#,5.0
228,长沙,寡姐没了，灭霸死了,宁乡薛之谦,5.0
229,惠阳,没想象中好看,eKP370535429,3.0
230,成都,震撼看哭了。再无钢铁侠了,小胖子,5.0
231,上海,美国队长 挺可惜的 结局就像青春 怎么可能是完整的,伤心小折腾,5.0
232,重庆,很好看很好看,💋,5.0
233,天台,怎么说这部电影呢，开头还不错，还算看的下去前面两个小时可以打个8分，后半部分大制作二十分钟还不错，足够精彩，后面的四十分钟让我有一种太过情怀的感觉，以至于后面十五分钟我都没有看了，切记，看之前少喝水，否则最后几分钟真的坚持不下去，,念熙ing,3.0
234,西安,没啥说的，我就是来刷分的🍀 ,💁 熬夜冠军Roger,5.0
235,深圳,满分不需要理由,vKQ250247679,5.0
236,东莞,我要去看啦啦啦,GuO郭丶少爷🎩🎃,5.0
237,东莞,系列最好的一部,HouseBoy,5.0
238,武汉,对美队是真得好，秀了，也体验过人生了。可怜的tony，自己一个人扛下来了所有，心疼。,jack丿23,5.0
239,溧阳,灭霸居然被蚁人搬走一颗宝山，然后就稀里糊涂被打败了？？？这个剧情设定太弱了,Bingoooo9,4.0
240,芜湖,再也不看漫威了,实在是懒得想名字,5.0
241,临沧,有没有彩蛋呀,CC是金刚不是芭比,5.0
242,宁波,超级好看耶！,lna1986,5.0
243,成都,刚刚看完，惊奇队长打了个酱油,yjf318710278,5.0
244,淮北,很是期待这部复联4,闫宋凯爸爸,4.0
245,天水,万万没想到，是这样的结局，不剧透了，有两个人死了！,CLOTLzxx,5.0
246,武汉,乐色…………,mYq115130543,0.5
247,廉江,垃圾，骗钱的东西，退钱,我不是好人,0.5
248,大竹,完美收官  😀,MVf537078176,5.0
249,重庆,great....,AlexanderMcQ_,5.0
250,龙岩,挺特别的，和女朋友一起看，熬夜,zjx66589,5.0
251,济源,感慨万分 没法说啊这,帅威阿,5.0
