,name,link,category,imgs,sellDate,price,size,source
38,バンドリ！ ガールズバンドパーティ！ クリアファイル Letter ver.,https://bang-dream.com/goods/3309,文具,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c635afda-f208-4119-ba50-4b593f924102.jpg,2023年04月01日 (土),550円（税込）,A4サイズ対応,全1種
39,BanG Dream! ガールズバンドパーティ！ トレーディング缶バッジ WEGOver. vol.5,https://bang-dream.com/goods/3237,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/b0ccbbb2-50f8-4e8d-b989-56e5de26fe70.jpg,,550円,直径：約54mm,全12種（トレーディング商品）
40,RAISE A SUILEN LIVE 2023「EXCLAMATION HIGHLAND」 タオル,https://bang-dream.com/goods/3347,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/dd2ea6de-14fd-421c-aa76-430c03a50464.jpg,2023年05月28日 (日),2310円（税込）,約W850×H330mm,イベント商品
41,バンドリ！ ガールズバンドパーティ！ キャラリウムアクリルキーホルダー Brand new Pastel Road！,https://bang-dream.com/goods/3210,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/093fc69f-dd08-4f11-a429-190134b75212.jpg,2022年11月12日 (土),880円（税込）,約W80×H60mm,イベント商品 全10種
42,バンドリ！ ガールズバンドパーティ！ ブロマイドケース,https://bang-dream.com/goods/3313,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a80ebc00-e121-41af-bb5d-6cd75bf65148.jpg,2023年04月01日 (土),2200円（税込）,約H198×W157×幅15mm (L版80枚収納可能),全1種
43,BanG Dream! ガールズバンドパーティ！ トレーディングホログラム缶バッジ2023ver. vol.2,https://bang-dream.com/goods/3324,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/600209c9-c109-4fcd-902b-60fb38ee03ae.jpg,2023年03月18日 (土),550円（税込）,直径：約56mm,一般商品 全20種
44,バンドリ！ ガールズバンドパーティ！ きらりんアクリルスタンド Twinkle Party! ver.（全7種）,https://bang-dream.com/goods/3108,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/e645b8ab-8bdf-49c0-808c-c4365e3cadfc.jpg,2022年09月02日 (金),各1650円(税込),,イベント商品、全7種
45,バンドリ！ ガールズバンドパーティ！ バストアップ等身アクリルスタンド 2023 Summer ver.,https://bang-dream.com/goods/3498,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a7b37e57-5ff9-4fa6-bfe0-463224ea77b5.jpg,2023年08月16日 (水),各11000円（税込）,本体：約W465×H411mm以内　台座：約W234×H117mm以内,EC商品 全7種
46,MyGO!!!!! 5th LIVE「迷うことに迷わない」 Tシャツ,https://bang-dream.com/goods/3422,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/26670fad-5fae-4c70-8869-8c660c668b88.jpg,2023年08月12日 (土),3850円（税込）,M / L / XL サイズ,イベント商品
47,バンドリ！ ガールズバンドパーティ！ B2タペストリー vol.1 Poppin'Party,https://bang-dream.com/goods/3250,タペストリー・ポスター類,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/217b230c-c36c-4b3d-a450-e8d1f49a3867.jpg,2023年01月09日 (月),3850円（税込）,B2サイズ,イベント商品 全5種
48,BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 タオル,https://bang-dream.com/goods/3277,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/8f666d8e-141f-4163-864c-2447d165094d.jpg,2023年02月05日 (日),2200円（税込）,約W850×H330mm,イベント商品
49,【受注商品】BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 B2タペストリー,https://bang-dream.com/goods/3289,タペストリー・ポスター類,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/947b5fbf-d208-478a-8ed0-3c8c8241eb43.jpg,2023年02月05日 (日),3850円（税込）,B2サイズ,イベント商品
50,RAISE A SUILEN×Morfonica「Mythology Chapter 2」 アクリルキーホルダー Morfonica,https://bang-dream.com/goods/3081,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f90fbdc6-0024-4c02-876f-7f20243b8dbb.jpg,2022年06月18日 (土),各880円（税込）,約H70mm×W70mm,イベント商品 全5種
51,BanG Dream! Special☆LIVE Girls Band Party! 2020→2022 フルカラーTシャツ Roselia,https://bang-dream.com/goods/3191,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/32030919-9e83-40b3-8e50-e518bb53bb5b.jpg,2022年11月12日 (土),各6600円（税込）,フリーサイズ,イベント商品 全5種
52,バンドリ！ ガールズバンドパーティ！ アクリルスタンド 2023ver. Afterglow,https://bang-dream.com/goods/3330,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a6ebfb73-02ed-4b62-ab1d-0460d34b36cf.jpg,2023年03月18日 (土),各1650円（税込）,約W50×H120mm,一般商品 全5種
53,BanG Dream! 12th☆LIVE DAY3:RAISE A SUILEN「REVEAL」 トレーディング缶バッジ,https://bang-dream.com/goods/3556,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/9d51d18d-dd6a-44a8-a4e5-5c12fa72c7fd.jpg,2023年11月05日 (日),550円（税込）,直径約57mm,イベント商品 全5種
54,バンドリ！ ガールズバンドパーティ！ アクリルキーホルダー Classic ver.,https://bang-dream.com/goods/3450,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/db7c7d11-2867-443b-86fc-c7285a4427e5.jpg,2023年10月06日 (金),各880円（税込）,約W75×H80mm,イベント商品 全8種
55,ぽぴばん！のおでかけ in Summer 記念アクリルキーホルダー,https://bang-dream.com/goods/3430,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1a10b33f-df85-468f-b351-f3fb47d2a3b8.jpg,2023年08月11日 (金),1000円（税込）,約W80×H80mm,イベント商品
56,BanG Dream! トレーディング缶バッジ 影色舞ver.,https://bang-dream.com/goods/3406,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/5911af39-2ff6-4734-adbf-d5ad70f1a128.jpg,2023年07月01日 (土),550円（税込）,直径：約56mm,一般商品 全5種
57,MyGO!!!!! 5th LIVE「迷うことに迷わない」 シリコンバンド,https://bang-dream.com/goods/3424,リストバンド,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f915470c-5e78-4f49-a69b-11309aea001c.jpg,2023年08月12日 (土),770円（税込）,約W202×H20mm,イベント商品
58,バンドリ！ ガールズバンドパーティ！ アクリルステッカーセット Afterglow,https://bang-dream.com/goods/3183,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/6c2a780b-6429-4fce-a14e-c98c6abd9fc3.jpg,,2750円（税込）,約W40×H40mm以内,イベント商品
59,BanG Dream! Special☆LIVE Girls Band Party! 2020→2022 ネームステッカー,https://bang-dream.com/goods/3215,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/8aea2407-086e-439a-92fd-59f70add5cfe.jpg,2022年11月12日 (土),501円（税込）,シールサイズ：152×106.5mm,イベント商品 全46種
60,BanG Dream! 11th☆LIVE DAY1:Poppin'Party×RAISE A SUILEN「GALAXY to GALAXY」 ネックストラップ＆フォンタブ,https://bang-dream.com/goods/3273,スマホグッズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/09147a30-316d-47ff-a0e5-7092fe4f6c1b.jpg,2023年02月04日 (土),各3850円（税込）,フォンタブ：約W60×H120mm　ストラップ：フリー,イベント商品 全10種
61,Morfonica ZEPP TOUR 2023「forte」 マフラータオル,https://bang-dream.com/goods/3411,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c6568689-4e5c-4ac5-87a9-5cd5af717420.jpg,2023年07月20日 (木),2200円（税込）,約W1100×H200mm,イベント商品
62,バンドリ！ ガールズバンドパーティ！ アクリルスタンド 2023ver. RAISE A SUILEN,https://bang-dream.com/goods/3325,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c9fd229f-3e82-4b8f-98e1-1fa9376c6d09.jpg,2023年03月18日 (土),各1650円（税込）,約W50×H120mm,一般商品 全5種
63,BanG Dream! ガールズバンドパーティ! バンドモチーフリング Special Edition Afterglow,https://bang-dream.com/goods/3170,その他,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/61b68500-7faa-4839-a7e4-13d75e0fccae.jpg,,各11000円（税込）,7号 / 9号 / 11号 / 13号 / 15号 / 17号 / 19号 / 21号,全5種
64,BanG Dream! 11th☆LIVE DAY1:Poppin'Party×RAISE A SUILEN「GALAXY to GALAXY」 箔押しクリアファイル,https://bang-dream.com/goods/3269,文具,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/4dcb6126-6cfc-4e9e-a465-b9fc6e39c93d.jpg,2023年02月04日 (土),770円（税込）,A4サイズ対応,イベント商品
