,番名,链接,评分,放送日期,id,追番人数,播放量,硬币数,弹幕数
122,齐木楠雄的灾难（日播&精选版）,https://www.bilibili.com/bangumi/play/ss5070,9.6,2016-07-03 16:00:00,5070,1328050,187782228,261102,1229876
123,K RETURN OF KINGS,https://www.bilibili.com/bangumi/play/ss2725,9.1,2015-10-01 16:00:00,2725,1302471,60163045,112608,1109877
124,某科学的超电磁炮S,https://www.bilibili.com/bangumi/play/ss427,9.6,2013-04-11 16:00:00,427,1293487,26759036,195020,2432691
125,鬼灯的冷彻 第二季,https://www.bilibili.com/bangumi/play/ss6447,9.7,2017-10-07 16:00:00,6447,1273217,30357501,52793,543787
126,会长是女仆大人！,https://www.bilibili.com/bangumi/play/ss969,9.8,2010-04-01 16:00:00,969,1271447,7945018,46628,311645
127,火影忍者 疾风传,https://www.bilibili.com/bangumi/play/ss3287,9.7,2016-01-13 16:00:00,3287,1269610,99612060,300542,2426902
128,言叶之庭,https://www.bilibili.com/bangumi/play/ss2546,9.6,2013-05-30 16:00:00,2546,1259875,10715301,95416,424251
129,流汗吧！健身少女,https://www.bilibili.com/bangumi/play/ss28013,9.8,2019-07-02 16:00:00,28013,1255373,23913686,119815,408128
130,中二病也要谈恋爱！恋,https://www.bilibili.com/bangumi/play/ss4349,9.5,2014-01-07 16:00:00,4349,1239370,43630058,417506,2080346
131,鬼灯的冷彻,https://www.bilibili.com/bangumi/play/ss3440,9.6,2014-01-09 16:00:00,3440,1228128,15963948,29575,594415
132,我的脑内选项正在全力妨碍学园恋爱喜剧,https://www.bilibili.com/bangumi/play/ss2673,9.4,2013-10-08 16:00:00,2673,1223019,35272238,57448,1009972
133,Rewrite,https://www.bilibili.com/bangumi/play/ss5020,8.4,2016-07-02 16:00:00,5020,1212415,29073495,75762,1006879
134,实况主的逃脱游戏,https://www.bilibili.com/bangumi/play/ss28000,9.4,2019-07-06 16:00:00,28000,1211163,20203635,90871,319814
135,十二大战,https://www.bilibili.com/bangumi/play/ss6420,7.7,2017-10-02 16:00:00,6420,1208708,32058818,46351,513878
136,Just Because!,https://www.bilibili.com/bangumi/play/ss6427,9.5,2017-10-05 16:00:00,6427,1206020,17952076,92971,574350
137,问题儿童都来自异世界？,https://www.bilibili.com/bangumi/play/ss439,9.1,2013-01-10 16:00:00,439,1201834,32456828,43898,590575
138,博多豚骨拉面团,https://www.bilibili.com/bangumi/play/ss21769,9.7,2018-01-11 16:00:00,21769,1199755,19776258,77467,561057
139,Love Live! School Idol Project,https://www.bilibili.com/bangumi/play/ss3068,9.6,2013-01-05 16:00:00,3068,1179996,15609027,75591,1677951
140,请问您今天要来点兔子吗？,https://www.bilibili.com/bangumi/play/ss191,9.6,2014-04-09 16:00:00,191,1158902,9665899,41831,581100
141,Fate/Zero 第二季,https://www.bilibili.com/bangumi/play/ss779,9.5,2012-04-06 16:00:00,779,1155988,52179336,107960,2879166
142,COP CRAFT,https://www.bilibili.com/bangumi/play/ss28011,9.1,2019-07-08 16:00:00,28011,1154857,17122184,78792,230344
143,刀剑乱舞-花丸-,https://www.bilibili.com/bangumi/play/ss5515,9.6,2016-10-02 16:00:00,5515,1154630,19769101,49022,1040386
144,品酒要在成为夫妻后,https://www.bilibili.com/bangumi/play/ss6423,9.3,2017-10-03 16:00:00,6423,1147264,26086455,42920,169237
145,热诚传说X,https://www.bilibili.com/bangumi/play/ss5022,8.0,2016-07-02 16:00:00,5022,1145702,26144866,56229,749501
146,妖狐×仆SS,https://www.bilibili.com/bangumi/play/ss809,9.6,2012-01-11 16:00:00,809,1143791,11105502,26033,438138
147,刀剑神域,https://www.bilibili.com/bangumi/play/ss4452,9.8,2012-07-06 16:00:00,4452,1140525,20562124,194168,1297573
148,黑色四叶草,https://www.bilibili.com/bangumi/play/ss6422,8.8,2017-10-02 16:00:00,6422,1128472,55421874,176340,655352
149,终将成为你,https://www.bilibili.com/bangumi/play/ss25622,9.8,2018-10-04 16:00:00,25622,1128285,13615052,155253,407656
150,邻座的怪同学,https://www.bilibili.com/bangumi/play/ss688,9.6,2012-09-30 16:00:00,688,1125718,29150586,59197,976575
151,终结的炽天使 名古屋决战篇,https://www.bilibili.com/bangumi/play/ss2760,8.5,2015-10-09 16:00:00,2760,1120743,39961943,63672,1468175
152,URARA迷路帖,https://www.bilibili.com/bangumi/play/ss5776,9.3,2017-01-05 16:00:00,5776,1115141,15067819,67697,631848
153,爱吃拉面的小泉同学,https://www.bilibili.com/bangumi/play/ss21728,9.2,2018-01-03 16:00:00,21728,1113504,18973101,52169,486503
154,ISLAND ,https://www.bilibili.com/bangumi/play/ss24571,9.2,2018-06-30 16:00:00,24571,1100552,15956834,68012,259145
155,变态王子与不笑猫,https://www.bilibili.com/bangumi/play/ss413,9.5,2013-04-12 16:00:00,413,1085544,25570563,73534,987087
156,无头骑士异闻录,https://www.bilibili.com/bangumi/play/ss1656,9.6,2010-01-06 16:00:00,1656,1083885,12921435,23417,851404
157,这个美术社大有问题！,https://www.bilibili.com/bangumi/play/ss5043,9.6,2016-07-07 16:00:00,5043,1077494,23491473,99803,997531
158,黑执事,https://www.bilibili.com/bangumi/play/ss75,9.8,2008-10-01 16:00:00,75,1071473,12832577,42361,791481
159,百变小樱,https://www.bilibili.com/bangumi/play/ss3756,9.8,1998-04-06 16:00:00,3756,1058544,26056496,67931,3035012
160,比宇宙更远的地方,https://www.bilibili.com/bangumi/play/ss21778,9.8,2018-01-01 16:00:00,21778,1044188,13769829,144835,372941
161,魔法禁书目录 第二季,https://www.bilibili.com/bangumi/play/ss964,8.9,2010-10-07 16:00:00,964,1042155,23344367,105387,1683009
162,笨蛋，测验，召唤兽,https://www.bilibili.com/bangumi/play/ss842,9.6,2010-01-05 16:00:00,842,1034447,15145094,42227,733461
163,我太受欢迎了该怎么办,https://www.bilibili.com/bangumi/play/ss5534,8.9,2016-10-06 16:00:00,5534,1033499,25094442,55269,1062438
164,川柳少女,https://www.bilibili.com/bangumi/play/ss26870,9.7,2019-04-05 16:00:00,26870,1033076,17201389,116238,306489
165,女神异闻录5 动画版,https://www.bilibili.com/bangumi/play/ss23878,9.1,2018-04-07 16:00:00,23878,1031909,21204926,63631,299666
166,DARKER THAN BLACK -黑之契约者-,https://www.bilibili.com/bangumi/play/ss1064,9.7,2007-04-04 16:00:00,1064,1027441,6920270,24565,264585
167,GAMERS电玩咖！,https://www.bilibili.com/bangumi/play/ss6340,9.0,2017-07-12 16:00:00,6340,1022434,24164959,92136,946083
168,魔法少女小圆,https://www.bilibili.com/bangumi/play/ss2539,9.8,2011-01-05 16:00:00,2539,1021401,12956650,50606,684374
169,漆黑的子弹,https://www.bilibili.com/bangumi/play/ss4181,9.2,2014-04-07 16:00:00,4181,1019666,10522849,45394,541149
170,时钟机关之星,https://www.bilibili.com/bangumi/play/ss6000,7.8,2017-04-06 16:00:00,6000,1019448,19406089,40903,405796
171,无论何时我们的恋情都是10厘米。～告白实行委员会～,https://www.bilibili.com/bangumi/play/ss6470,9.6,2017-11-24 16:00:00,6470,1011379,8456344,45079,196869
172,NEW GAME!,https://www.bilibili.com/bangumi/play/ss5027,9.5,2016-07-05 16:00:00,5027,1011374,18664170,65351,790869
173,GOSICK,https://www.bilibili.com/bangumi/play/ss856,9.7,2011-01-06 16:00:00,856,1011140,760055,6050,23039
174,天狼 Sirius the Jaeger,https://www.bilibili.com/bangumi/play/ss24620,8.8,2018-07-11 16:00:00,24620,1008738,11979729,67547,283263
175,Hand Shakers,https://www.bilibili.com/bangumi/play/ss5797,7.8,2017-01-09 16:00:00,5797,1002142,15422713,36194,465640
176,不吉波普不笑,https://www.bilibili.com/bangumi/play/ss26303,9.7,2019-01-03 16:00:00,26303,1002121,16944649,108874,204060
177,妖精森林的小不点,https://www.bilibili.com/bangumi/play/ss21717,9.9,2018-01-11 16:00:00,21717,1002011,15375341,104050,251207
178,学战都市Asterisk 第二季,https://www.bilibili.com/bangumi/play/ss3464,8.4,2016-04-02 16:00:00,3464,995800,47783450,78221,1014290
179,刻刻,https://www.bilibili.com/bangumi/play/ss21755,9.3,2018-01-07 16:00:00,21755,994207,15701536,52449,253218
180,街角魔族,https://www.bilibili.com/bangumi/play/ss28007,9.8,2019-07-11 16:00:00,28007,990223,15988589,91731,279171
181,邻家索菲,https://www.bilibili.com/bangumi/play/ss25619,9.7,2018-10-04 16:00:00,25619,987206,15902349,117745,388941
182,JOJO的奇妙冒险 不灭钻石,https://www.bilibili.com/bangumi/play/ss5398,9.8,2016-03-30 16:00:00,5398,986583,33525094,104792,1121252
183,甘城光辉游乐园,https://www.bilibili.com/bangumi/play/ss281,9.6,2014-10-05 16:00:00,281,985494,5719900,47953,190775
184,天使的 three pieces!,https://www.bilibili.com/bangumi/play/ss6328,8.6,2017-07-09 16:00:00,6328,984238,17662924,93481,1116751
185,樱子小姐的脚下埋着秘密,https://www.bilibili.com/bangumi/play/ss2742,9.3,2015-10-06 16:00:00,2742,977728,20000467,35696,585922
186,魔装少女就是本少爷,https://www.bilibili.com/bangumi/play/ss697,9.4,2011-01-09 16:00:00,697,973724,1283484,7919,58914
187,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,https://www.bilibili.com/bangumi/play/ss28320,0.0,2019-10-04 16:00:00,28320,972200,4780031,65010,82024
188,邪神与厨二病少女,https://www.bilibili.com/bangumi/play/ss24630,9.4,2018-07-08 16:00:00,24630,971409,23285423,87989,349108
189,伪恋：,https://www.bilibili.com/bangumi/play/ss1574,9.4,2015-04-09 16:00:00,1574,971379,28718690,56144,812939
190,弹丸论破3 -未来篇-,https://www.bilibili.com/bangumi/play/ss5056,7.5,2016-07-10 16:00:00,5056,965774,19872076,36765,661302
191,Love Live! Sunshine!!,https://www.bilibili.com/bangumi/play/ss5062,8.8,2016-07-01 16:00:00,5062,955282,13555423,53787,1049976
192,怪化猫,https://www.bilibili.com/bangumi/play/ss2654,9.8,2007-07-11 16:00:00,2654,950320,8894765,27808,284756
193,多田君不恋爱,https://www.bilibili.com/bangumi/play/ss23859,8.9,2018-04-04 16:00:00,23859,948989,13529549,86734,335468
194,绯弹的亚里亚,https://www.bilibili.com/bangumi/play/ss2993,8.6,2011-04-13 16:00:00,2993,930827,13597418,35701,752229
195,One Room,https://www.bilibili.com/bangumi/play/ss5798,9.4,2017-01-10 16:00:00,5798,922741,16088451,35049,366635
