,name,category,note,author,url,downloads,votes,comments
76,历史的今天,阅读,查看历史发生了什么事,roXie,https://www.icloud.com/shortcuts/9344b60fe68245a9a19f5f8d65e5f817,8187,50,14
77,用Picsew拼接长截图,效率,调用 Picsew 的 URL Scheme，抓取最近的几张截图，自动拼接并删除之前的截图。,倚楼睇风雨,https://www.icloud.com/shortcuts/0208ca9969204704af7395ec33bb95ec,5223,50,4
78,微信小盒子,社交,微信圆头像、表情包斗图、朋友圈文字封面、Emoji微信引用回复…n项全能，玩转微信,小悟空,https://www.icloud.com/shortcuts/67a653ce736d400686a147739db766de,18068,49,8
79,YouTube音视频下载,工具,一个简单又快速在线下载YouTube音视频的捷径小工具，第三方，可下1080p视频。,FAN Yu,https://www.icloud.com/shortcuts/2943cb48989e49258d0702cd2826532a,17719,49,16
80,自动去除照片背景,工具,选择照片后自动去除背景并保存到相册,Alen,https://www.icloud.com/shortcuts/87b3a4efb76448ea8e9efcbbb8b9d1b1,7760,49,13
81,超级影视轮播台,娱乐,超级福利!分类电影轮播.手机电视!内含N个电影.直播.电视频道(央视.地方卫视)高清秒出!全天化轮播,大表哥.1,https://www.icloud.com/shortcuts/fa756ab5594f48d385c88e581a7c6b70,12779,48,74
82,Download YouTube,娱乐,下载 YouTube 视频,arobot,https://www.icloud.com/shortcuts/183d4a1bdb4f451cae0735d665977fa7,9488,48,48
83,查看 iOS 设备电池寿命,工具,一键查看 iOS 设备电池损耗情况,Jet Lee,https://www.icloud.com/shortcuts/039163ea1d464c478dde15ce42c7cc47,23639,48,30
84,商品价格走势,效率,通过购物党页端解析淘宝/京东/亚马逊/当当/等商城的最低价和价格走势图,Lucifel,https://www.icloud.com/shortcuts/759aa4366d294412a4cf283ff88d7617,9752,48,55
85,iPhone换铃声,工具,配合软件“库乐队”在你的音乐软件复制你喜欢的音乐的链接更换成你喜欢的铃声吧！,𝙆𝙖𝙩,https://www.icloud.com/shortcuts/b1a606f4cd1848c2b04a5010a1e238a9,9712,48,16
86,捷径控制 Windows 电脑,效率,实现静音开关、音量调节、待机关机等功能。注：请在横屏模式下观看演示视频,CB,https://www.icloud.com/shortcuts/299955b82a464aeeb4e1b7229c82725a,2916,48,17
87,你好污啊,娱乐,【520特别版】撩妹子，撩帅哥，风情万种的人才配教你污话不说，情人节必备宝典！（语音模式支持分享微信,Marin9090,https://www.icloud.com/shortcuts/7ede97e8745848ea90f0218f1541b3de,12712,47,3
88,多功能视频编辑器,娱乐,【求赞】目前为止，功能最全的视频编辑神器,大先生,https://www.icloud.com/shortcuts/e3b7caf6a52f458789cdc3e5df3b1c74,4977,47,17
89,4399游戏盒,娱乐,数百款小游戏在线玩，免安装点开即玩,Kim,https://www.icloud.com/shortcuts/a6008de059c647418f380ea8684219c9,6405,47,9
90,动漫之家,阅读,捷径端动漫之家，没有广告，不需要等待加载。,花小醉,https://www.icloud.com/shortcuts/41cc5c6b5ea340e3a8f3767a367c9fe5,6600,47,25
91,实时天气³,生活,"1公里精确预报
分钟级天气刷新
实时空气质量监测
七种天气状况
八种生活指数
适配捷径社区更新机制",Marin9090,https://www.icloud.com/shortcuts/bd67da757bd644d1a1536910e49b1be9,10272,47,55
92,PanDownload 捷径版,工具,一代解除限速神器，终于登陆iOS,x10,https://www.icloud.com/shortcuts/57ccd7a11111406c9192a669603718a0,5562,46,26
93,MegaTV,生活,炒鸡好用，手机看无数台电视📺,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/06681be5ee1249bc8cb7650c5eaa1486,8773,46,29
94,香烟品牌价格查询,生活,查询香烟品牌（大陆、港台、国外）、焦油量、价格的自用捷径,mappo,https://www.icloud.com/shortcuts/182c9808c80649419c9f329c69be28bf,3974,46,7
