id,forks,repo_name,repo_url,stars,task,watchers
156,1663,jupyter/jupyter,https://github.com/jupyter/jupyter,7288,jupyter,7288
157,203,faressoft/terminalizer,https://github.com/faressoft/terminalizer,7199,terminalizer,7199
158,949,Tencent/wcdb,https://github.com/Tencent/wcdb,7086,wc,7086
159,6085,magento/magento2,https://github.com/magento/magento2,7049,magento,7049
160,1350,laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,7032,st-util,7032
161,937,dnschneid/crouton,https://github.com/dnschneid/crouton,6993,chroot,6993
162,454,AlDanial/cloc,https://github.com/AlDanial/cloc,6865,cloc,6865
163,586,asciinema/asciinema,https://github.com/asciinema/asciinema,6825,asciinema,6825
164,810,nim-lang/Nim,https://github.com/nim-lang/Nim,6648,nim,6648
165,2006,apache/incubator-skywalking,https://github.com/apache/incubator-skywalking,6519,apm,6519
166,362,cs01/gdbgui,https://github.com/cs01/gdbgui,6431,gdb,6431
167,1059,iovisor/bcc,https://github.com/iovisor/bcc,6418,bc,6418
168,437,phpstan/phpstan,https://github.com/phpstan/phpstan,6411,phpstan,6411
169,527,acaudwell/Gource,https://github.com/acaudwell/Gource,6398,gource,6398
170,923,shipyard/shipyard,https://github.com/shipyard/shipyard,6370,docker-compose,6370
171,327,donnemartin/gitsome,https://github.com/donnemartin/gitsome,6355,gitsome,6355
172,465,restic/restic,https://github.com/restic/restic,6339,restic,6339
173,1468,technomancy/leiningen,https://github.com/technomancy/leiningen,6291,lein,6291
174,818,laravel/lumen,https://github.com/laravel/lumen,6136,lumen,6136
175,383,dylanaraps/neofetch,https://github.com/dylanaraps/neofetch,6069,neofetch,6069
176,190,ogham/exa,https://github.com/ogham/exa,6047,exa,6047
177,190,ogham/exa,https://github.com/ogham/exa,6047,ls,6047
178,348,HackerNews/API,https://github.com/HackerNews/API,5980,hn,5980
179,1546,Tencent/ncnn,https://github.com/Tencent/ncnn,5847,nc,5847
180,1218,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,5839,jar,5839
181,23740,barryclark/jekyll-now,https://github.com/barryclark/jekyll-now,5839,now,5839
182,344,bup/bup,https://github.com/bup/bup,5833,bup,5833
183,669,fmtlib/fmt,https://github.com/fmtlib/fmt,5549,fmt,5549
184,669,fmtlib/fmt,https://github.com/fmtlib/fmt,5549,printf,5549
185,145,sindresorhus/fkill-cli,https://github.com/sindresorhus/fkill-cli,5542,fkill,5542
186,1183,mzlogin/awesome-adb,https://github.com/mzlogin/awesome-adb,5507,adb,5507
187,2192,carpedm20/DCGAN-tensorflow,https://github.com/carpedm20/DCGAN-tensorflow,5501,dc,5501
188,161,jayphelps/git-blame-someone-else,https://github.com/jayphelps/git-blame-someone-else,5410,git-blame,5410
189,1727,pypa/pip,https://github.com/pypa/pip,5281,pip,5281
190,614,gdrive-org/gdrive,https://github.com/gdrive-org/gdrive,5167,gdrive,5167
191,730,sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,5120,nokogiri,5120
192,831,major/MySQLTuner-perl,https://github.com/major/MySQLTuner-perl,5107,perl,5107
193,518,ReactTraining/history,https://github.com/ReactTraining/history,5095,history,5095
194,642,mafintosh/peerflix,https://github.com/mafintosh/peerflix,5084,peerflix,5084
195,736,beanstalkd/beanstalkd,https://github.com/beanstalkd/beanstalkd,4986,beanstalkd,4986
196,874,palantir/tslint,https://github.com/palantir/tslint,4887,tslint,4887
197,388,amoffat/sh,https://github.com/amoffat/sh,4880,sh,4880
198,812,ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,4878,ag,4878
199,2195,yiisoft/yii,https://github.com/yiisoft/yii,4855,php-yii,4855
200,230,loadimpact/k6,https://github.com/loadimpact/k6,4854,k6,4854
201,720,magicmonty/bash-git-prompt,https://github.com/magicmonty/bash-git-prompt,4800,git-pr,4800
202,190,dylang/npm-check,https://github.com/dylang/npm-check,4790,npm-check,4790
203,375,radareorg/cutter,https://github.com/radareorg/cutter,4706,cut,4706
204,393,borgbackup/borg,https://github.com/borgbackup/borg,4693,borg,4693
205,143,ericchiang/pup,https://github.com/ericchiang/pup,4670,pup,4670
206,326,schollz/find,https://github.com/schollz/find,4640,find,4640
207,2180,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,4614,ed,4614
208,148,lebab/lebab,https://github.com/lebab/lebab,4610,lebab,4610
209,1084,google/seq2seq,https://github.com/google/seq2seq,4610,seq,4610
210,328,mawww/kakoune,https://github.com/mawww/kakoune,4554,kak,4554
211,609,google/gumbo-parser,https://github.com/google/gumbo-parser,4499,c99,4499
212,2026,bundler/bundler,https://github.com/bundler/bundler,4491,bundle,4491
213,411,mattt/Surge,https://github.com/mattt/Surge,4400,surge,4400
214,210,xojs/xo,https://github.com/xojs/xo,4388,xo,4388
215,521,CSSLint/csslint,https://github.com/CSSLint/csslint,4361,csslint,4361
216,668,wix/Detox,https://github.com/wix/Detox,4301,detox,4301
217,659,mruby/mruby,https://github.com/mruby/mruby,4278,mr,4278
218,334,gobuffalo/buffalo,https://github.com/gobuffalo/buffalo,4183,w,4183
219,916,olado/doT,https://github.com/olado/doT,4172,dot,4172
220,944,rvm/rvm,https://github.com/rvm/rvm,4165,rvm,4165
221,822,apache/couchdb,https://github.com/apache/couchdb,4130,couchdb,4130
222,907,rust-lang/cargo,https://github.com/rust-lang/cargo,4104,cargo,4104
223,134,BurntSushi/xsv,https://github.com/BurntSushi/xsv,4103,xsv,4103
224,1526,bbfamily/abu,https://github.com/bbfamily/abu,4059,ab,4059
225,912,zfsonlinux/zfs,https://github.com/zfsonlinux/zfs,4045,zfs,4045
226,230,Shougo/deoplete.nvim,https://github.com/Shougo/deoplete.nvim,4037,nvim,4037
227,300,Microsoft/language-server-protocol,https://github.com/Microsoft/language-server-protocol,4014,protoc,4014
228,280,jonls/redshift,https://github.com/jonls/redshift,4005,redshift,4005
229,1275,assimp/assimp,https://github.com/assimp/assimp,3994,assimp,3994
230,1721,mattbryson/TouchSwipe-Jquery-Plugin,https://github.com/mattbryson/TouchSwipe-Jquery-Plugin,3954,touch,3954
231,995,bingoogolapple/BGARefreshLayout-Android,https://github.com/bingoogolapple/BGARefreshLayout-Android,3918,bg,3918
232,954,pytest-dev/pytest,https://github.com/pytest-dev/pytest,3896,test,3896
233,2839,baidu-ife/ife,https://github.com/baidu-ife/ife,3884,if,3884
234,501,chjj/tty.js,https://github.com/chjj/tty.js,3878,tty,3878
235,194,michael-lazar/rtv,https://github.com/michael-lazar/rtv,3862,rtv,3862
236,992,minetest/minetest,https://github.com/minetest/minetest,3832,minetest,3832
237,892,Microsoft/msbuild,https://github.com/Microsoft/msbuild,3813,msbuild,3813
238,415,tabulapdf/tabula,https://github.com/tabulapdf/tabula,3804,tabula,3804
239,612,lz4/lz4,https://github.com/lz4/lz4,3724,lz4,3724
240,291,kubernetes/kompose,https://github.com/kubernetes/kompose,3704,kompose,3704
241,983,lightningnetwork/lnd,https://github.com/lightningnetwork/lnd,3694,ln,3694
242,216,ahmetb/kubectx,https://github.com/ahmetb/kubectx,3640,kubectx,3640
243,1805,orvice/ss-panel,https://github.com/orvice/ss-panel,3631,rm,3631
